REFERENCE
100
4.933655265e-06
0.62
END_REFERENCE
n	x	v	v'	|v - v'|
0	0	0	0	0
1	0.01	0.006490396381	0.00649063317	2.367883699e-07
2	0.02	0.01269573315	0.01269619104	4.578900887e-07
3	0.03	0.01862801773	0.01862868195	6.642226746e-07
4	0.04	0.02429870626	0.02429956291	8.566461876e-07
5	0.05	0.02971873242	0.02971976839	1.035967218e-06
6	0.06	0.03489853462	0.03489973756	1.202942569e-06
7	0.07	0.03984808151	0.03984943979	1.358282651e-06
8	0.08	0.04457689602	0.04457839868	1.50265463e-06
9	0.09	0.04909407801	0.04909571469	1.636685328e-06
10	0.1	0.05340832555	0.05341008651	1.760963915e-06
11	0.11	0.05752795503	0.05752983108	1.876044396e-06
12	0.12	0.06146092013	0.06146290258	1.982447923e-06
13	0.13	0.06521482965	0.06521691031	2.080664931e-06
14	0.14	0.06879696441	0.06879913557	2.171157126e-06
15	0.15	0.07221429319	0.07221654755	2.254359326e-06
16	0.16	0.07547348777	0.07547581845	2.330681176e-06
17	0.17	0.07858093716	0.07858333767	2.400508741e-06
18	0.18	0.08154276107	0.08154522528	2.464205983e-06
19	0.19	0.08436482261	0.08436734473	2.52211614e-06
20	0.2	0.08705274038	0.08705531494	2.574563012e-06
21	0.21	0.08961189981	0.08961452166	2.621852154e-06
22	0.22	0.09204746404	0.09205012831	2.664271991e-06
23	0.23	0.0943643841	0.0943670862	2.702094857e-06
24	0.24	0.09656740865	0.09657014423	2.735577967e-06
25	0.25	0.09866109314	0.09866385811	2.76496432e-06
26	0.26	0.1006498086	0.1006525991	2.790483546e-06
27	0.27	0.1025377499	0.1025405622	2.812352696e-06
28	0.28	0.1043289435	0.1043317743	2.830776984e-06
29	0.29	0.1060272552	0.1060301011	2.845950474e-06
30	0.3	0.1076363969	0.1076392549	2.858056732e-06
31	0.31	0.1091599336	0.1091628009	2.867269428e-06
32	0.32	0.1106012898	0.1106041636	2.873752905e-06
33	0.33	0.1119637554	0.111966633	2.877662715e-06
34	0.34	0.1132504915	0.1132533707	2.87914611e-06
35	0.35	0.1144645364	0.1144674147	2.878342518e-06
36	0.36	0.1156088102	0.1156116856	2.875383977e-06
37	0.37	0.1166861202	0.1166889906	2.870395547e-06
38	0.38	0.1176991655	0.117702029	2.863495703e-06
39	0.39	0.1186505418	0.1186533966	2.854796693e-06
40	0.4	0.1195427454	0.1195455898	2.844404879e-06
41	0.41	0.1203781775	0.1203810099	2.832421065e-06
